Rank,Name,Position,Team
1,Christian McCaffrey,RB,CAR
2,Dalvin Cook,RB,MIN
3,Derrick Henry,RB,TEN
4,Saquon Barkley,RB,NYG
5,Nick Chubb,RB,CLE
6,Alvin Kamara,RB,NO
7,Jonathan Taylor,RB,IND
8,Ezekiel Elliott,RB,DAL
9,Aaron Jones,RB,GB
10,Tyreek Hill,WR,KC
11,Davante Adams,WR,GB
12,Cam Akers,RB,LAR
13,A.J. Brown,WR,TEN
14,Stefon Diggs,WR,BUF
15,Travis Kelce,TE,KC
16,D.K. Metcalf,WR,SEA
17,George Kittle,TE,SF
18,DeAndre Hopkins,WR,ARI
19,Patrick Mahomes II,QB,KC
20,Calvin Ridley,WR,ATL
21,Antonio Gibson,RB,WAS
22,Joe Mixon,RB,CIN
23,Justin Jefferson,WR,MIN
24,J.K. Dobbins,RB,BAL
25,Austin Ekeler,RB,LAC
26,Darren Waller,TE,LV
27,Mike Evans,WR,TB
28,Miles Sanders,RB,PHI
29,Allen Robinson II,WR,CHI
30,Terry McLaurin,WR,WAS
31,Michael Thomas,WR,NO
32,Julio Jones,WR,ATL
33,Keenan Allen,WR,LAC
34,D'Andre Swift,RB,DET
35,Najee Harris,RB,PIT
36,Chris Godwin,WR,TB
37,Josh Jacobs,RB,LV
38,Clyde Edwards-Helaire,RB,KC
39,David Montgomery,RB,CHI
40,Adam Thielen,WR,MIN
41,Chris Carson,RB,SEA
42,D.J. Moore,WR,CAR
43,Amari Cooper,WR,DAL
44,Kenny Golladay,WR,NYG
45,Josh Allen,QB,BUF
46,CeeDee Lamb,WR,DAL
47,Robert Woods,WR,LAR
48,Mark Andrews,TE,BAL
49,Odell Beckham Jr.,WR,CLE
50,Brandon Aiyuk,WR,SF
51,T.J. Hockenson,TE,DET
52,Kyler Murray,QB,ARI
53,Lamar Jackson,QB,BAL
54,Dak Prescott,QB,DAL
55,Kareem Hunt,RB,CLE
56,Courtland Sutton,WR,DEN
57,Tyler Lockett,WR,SEA
58,Tee Higgins,WR,CIN
59,Chase Claypool,WR,PIT
60,Diontae Johnson,WR,PIT
61,Cooper Kupp,WR,LAR
62,Melvin Gordon III,RB,DEN
63,Myles Gaskin,RB,MIA
64,D.J. Chark Jr.,WR,JAC
65,Will Fuller V,WR,MIA
66,Russell Wilson,QB,SEA
67,Aaron Rodgers,QB,GB
68,Damien Harris,RB,NE
69,Justin Herbert,QB,LAC
70,Raheem Mostert,RB,SF
71,Ronald Jones II,RB,TB
72,Dallas Goedert,TE,PHI
73,Travis Etienne,RB,JAC
74,Brandin Cooks,WR,HOU
75,James Robinson,RB,JAC
76,Deebo Samuel,WR,SF
77,Noah Fant,TE,DEN
78,JuJu Smith-Schuster,WR,PIT
79,Curtis Samuel,WR,WAS
80,Chase Edmonds,RB,ARI
81,Robert Tonyan,TE,GB
82,David Johnson,RB,HOU
83,Jerry Jeudy,WR,DEN
84,Tyler Boyd,WR,CIN
85,Robby Anderson,WR,CAR
86,Jalen Hurts,QB,PHI
87,Ja'Marr Chase,WR,CIN
88,Jarvis Landry,WR,CLE
89,Marquise Brown,WR,BAL
90,Tom Brady,QB,TB
91,Zack Moss,RB,BUF
92,AJ Dillon,RB,GB
93,James Conner,RB,ARI
94,Leonard Fournette,RB,TB
95,Kenyan Drake,RB,LV
96,DeVante Parker,WR,MIA
97,Kyle Pitts,TE,ATL
98,Joe Burrow,QB,CIN
99,Mike Gesicki,TE,MIA
100,Michael Gallup,WR,DAL
101,Logan Thomas,TE,WAS
102,Matthew Stafford,QB,LAR
103,Mike Davis,RB,ATL
104,Ryan Tannehill,QB,TEN
105,Corey Davis,WR,NYJ
106,Laviska Shenault Jr.,WR,JAC
107,Matt Ryan,QB,ATL
108,DeVonta Smith,WR,PHI
109,Mike Williams,WR,LAC
110,Irv Smith Jr.,TE,MIN
111,Devin Singletary,RB,BUF
112,Marvin Jones Jr.,WR,JAC
113,Rob Gronkowski,TE,TB
114,Gus Edwards,RB,BAL
115,Javonte Williams,RB,DEN
116,Latavius Murray,RB,NO
117,Tony Pollard,RB,DAL
118,Tyler Higbee,TE,LAR
119,Michael Pittman Jr.,WR,IND
120,Darrell Henderson,RB,LAR
121,Jonnu Smith,TE,NE
122,Kirk Cousins,QB,MIN
123,T.Y. Hilton,WR,IND
124,Antonio Brown,WR,TB
125,Hunter Henry,TE,NE
126,Trevor Lawrence,QB,JAC
127,Evan Engram,TE,NYG
128,Jamaal Williams,RB,DET
129,Nyheim Hines,RB,IND
130,Jaylen Waddle,WR,MIA
131,Jalen Reagor,WR,PHI
132,Henry Ruggs III,WR,LV
133,Phillip Lindsay,RB,HOU
134,Baker Mayfield,QB,CLE
135,Nelson Agholor,WR,NE
136,Jeff Wilson Jr.,RB,SF
137,Daniel Jones,QB,NYG
138,Carson Wentz,QB,IND
139,John Brown,WR,LV
140,Michael Carter,RB,NYJ
141,Mecole Hardman,WR,KC
142,Rashaad Penny,RB,SEA
143,Jamison Crowder,WR,NYJ
144,Cole Beasley,WR,BUF
145,Alexander Mattison,RB,MIN
146,Austin Hooper,TE,CLE
147,Tarik Cohen,RB,CHI
148,Darnell Mooney,WR,CHI
149,Pittsburgh Steelers,DST,PIT
150,Trey Sermon,RB,SF
151,Christian Kirk,WR,ARI
152,Blake Jarwin,TE,DAL
153,Tua Tagovailoa,QB,MIA
154,Jared Cook,TE,LAC
155,Los Angeles Rams,DST,LAR
