Rank,Data,,,
1,Christian McCaffrey RB  CAR ,,,
2,Saquon Barkley RB  NYG ,,,
3,Ezekiel Elliott RB  DAL,,,
4,Alvin Kamara RB  NO,,,
5,Dalvin Cook RB  MIN,,,
6,Derrick Henry RB  TEN,,,
7,Patrick Mahomes QB  KC  ,,,
8,Michael Thomas WR  NO ,,,
9,Clyde Edwards-Helaire RB  KC,,,
10,Lamar Jackson QB  BAL,,,
11,Josh Jacobs RB  LV,,,
12,Davante Adams WR  GB,,,
13,Austin Ekeler RB  LAC ,,,
14,Nick Chubb RB  CLE,,,
15,Joe Mixon RB  CIN,,,
16,Julio Jones WR  ATL ,,,
17,Tyreek Hill WR  KC,,,
18,Travis Kelce TE  KC,,,
19,Aaron Jones RB  GB,,,
20,Miles Sanders RB  PHI ,,,
21,Kenyan Drake RB  LV,,,
22,DeAndre Hopkins WR  ARI,,,
23,George Kittle TE  SF,,,
24,Chris Godwin WR  TB,,,
25,James Conner RB  ARI  ,,,
26,Dak Prescott QB  DAL ,,,
27,Kenny Golladay WR  NYG,,,
28,Todd Gurley RB  ATL,,,
29,Chris Carson RB  SEA,,,
30,Mike Evans WR  TB,,,
31,Cooper Kupp WR  LAR ,,,
32,Le'Veon Bell RB  KC,,,
33,Adam Thielen WR  MIN,,,
34,JuJu Smith-Schuster WR  PIT,,,
35,David Johnson RB  HOU,,,
36,Deshaun Watson QB  HOU,,,
37,Melvin Gordon RB  DEN,,,
38,Russell Wilson QB  SEA,,,
39,Zach Ertz TE  PHI,,,
40,Calvin Ridley WR  ATL,,,
41,Amari Cooper WR  DAL ,,,
42,D.J. Moore WR  CAR,,,
43,Tyler Lockett WR  SEA,,,
44,Mark Ingram RB  HOU,,,
45,Odell Beckham WR  CLE ,,,
46,Mark Andrews TE  BAL,,,
47,Keenan Allen WR  LAC,,,
48,Robert Woods WR  LAR,,,
49,Allen Robinson WR  CHI,,,
50,Jonathan Taylor RB  IND,,,
51,Kyler Murray QB  ARI ,,,
52,A.J. Brown WR  TEN ,,,
53,Raheem Mostert RB  SF ,,,
54,Darren Waller TE  LV,,,
55,DK Metcalf WR  SEA,,,
56,Tom Brady QB  TB  ,,,
57,T.Y. Hilton WR  IND,,,
58,Cam Akers RB  LAR,,,
59,Leonard Fournette RB  TB,,,
60,Terry McLaurin WR  WAS,,,
61,Stefon Diggs WR  BUF,,,
62,Courtland Sutton WR  DEN ,,,
63,Devin Singletary RB  BUF,,,
64,Kareem Hunt RB  CLE,,,
65,Drew Brees QB  NO,,,
66,Josh Allen QB  BUF,,,
67,Marquise Brown WR  BAL,,,
68,Matt Ryan QB  ATL,,,
69,D.J. Chark WR  JAC ,,,
70,Evan Engram TE  NYG,,,
71,Rob Gronkowski TE  TB,,,
72,Tyler Boyd WR  CIN,,,
73,Michael Gallup WR  DAL,,,
74,J.K. Dobbins RB  BAL,,,
75,Hunter Henry TE  NE,,,
76,Tarik Cohen RB  CHI ,,,
77,D'Andre Swift RB  DET,,,
78,A.J. Green WR  ARI,,,
79,Jarvis Landry WR  CLE,,,
80,David Montgomery RB  CHI,,,
81,Steelers DST  PIT,,,
82,Antonio Gibson RB  WAS,,,
83,Will Fuller WR  MIA,,,
84,DeVante Parker WR  MIA,,,
85,Aaron Rodgers QB  GB,,,
86,Julian Edelman WR  NE ,,,
87,Phillip Lindsay RB  HOU ,,,
88,49ers DST  SF,,,
89,Tyler Higbee TE  LAR,,,
90,Ronald Jones RB  TB ,,,
91,Marlon Mack RB  IND ,,,
92,Carson Wentz QB  PHI,,,
93,Zack Moss RB  BUF ,,,
94,Hayden Hurst TE  ATL,,,
95,Jordan Howard RB  PHI,,,
96,CeeDee Lamb WR  DAL,,,
97,Brandin Cooks WR  HOU,,,
98,Matt Breida RB  BUF,,,
99,Marvin Jones WR  JAC,,,
100,James White RB  NE,,,
101,Jared Cook TE  LAC,,,
102,Diontae Johnson WR  PIT,,,
103,Ravens DST  BAL,,,
104,Henry Ruggs III WR  LV,,,
105,Cam Newton QB  NE,,,
106,Justin Tucker K  BAL,,,
107,Kerryon Johnson RB  DET,,,
108,Matthew Stafford QB  LAR ,,,
109,Wil Lutz K  NO,,,
110,Jared Goff QB  LAR,,,
111,Patriots DST  NE,,,
112,Latavius Murray RB  NO ,,,
113,Bills DST  BUF,,,
114,Austin Hooper TE  CLE,,,
115,Jerry Jeudy WR  DEN,,,
116,Deebo Samuel WR  SF ,,,
117,Christian Kirk WR  ARI,,,
118,Harrison Butker K  KC,,,
119,Noah Fant TE  DEN,,,
120,Jamison Crowder WR  NYJ,,,
121,Daniel Jones QB  NYG,,,
122,Sterling Shepard WR  NYG,,,
123,Preston Williams WR  MIA ,,,
124,Tevin Coleman RB  NYJ,,,
125,Emmanuel Sanders WR  BUF,,,
126,Darius Slayton WR  NYG,,,
127,Rams DST  LAR,,,
128,Sony Michel RB  NE,,,
129,Ben Roethlisberger QB  PIT,,,
130,Sammy Watkins WR  BAL,,,
131,John Brown WR  LV,,,
132,Jonnu Smith TE  NE,,,
133,Vikings DST  MIN,,,
134,Greg Zuerlein K  DAL,,,
135,Baker Mayfield QB  CLE,,,
136,Joe Burrow QB  CIN ,,,
137,Alexander Mattison RB  MIN,,,
138,Duke Johnson RB  HOU ,,,
139,DeSean Jackson WR  LAR,,,
140,Tony Pollard RB  DAL,,,
141,Mike Gesicki TE  MIA,,,
142,Robbie Gould K  SF,,,
143,Chiefs DST  KC,,,
144,Boston Scott RB  PHI,,,
145,Ryan Tannehill QB  TEN,,,
146,Chase Edmonds RB  ARI ,,,
147,James Robinson RB  JAC,,,
148,T.J. Hockenson TE  DET,,,
149,Mecole Hardman WR  KC,,,
150,Jimmy Garoppolo QB  SF ,,,
151,Golden Tate WR  NYG ,,,
152,Allen Lazard WR  GB,,,
153,Bears DST  CHI,,,
154,Chris Thompson RB  JAC ,,,
155,Kirk Cousins QB  MIN,,,
156,Hunter Renfrow WR  LV,,,
157,Chris Herndon TE  NYJ,,,
158,Teddy Bridgewater QB  CAR,,,
159,Gardner Minshew QB  JAC,,,
160,Saints DST  NO,,,
161,Anthony Miller WR  CHI,,,
162,Blake Jarwin TE  DAL ,,,
163,Ryquell Armstead RB  JAC ,,,
164,Jerick McKinnon RB  SF,,,
165,Justin Jefferson WR  MIN,,,
166,Darrell Henderson RB  LAR ,,,
167,Jalen Reagor WR  PHI ,,,
168,Jack Doyle TE  IND,,,
169,A.J. Dillon RB  GB,,,
170,Philip Rivers QB  IND,,,
171,Damien Harris RB  NE ,,,
172,Younghoe Koo K  ATL,,,
173,Nyheim Hines RB  IND,,,
174,Titans DST  TEN,,,
175,Darrel Williams RB  KC,,,
176,Colts DST  IND,,,
177,Derek Carr QB  LV,,,
178,Drew Lock QB  DEN,,,
179,Adrian Peterson RB  DET,,,
180,Buccaneers DST  TB,,,
181,Dallas Goedert TE  PHI ,,,
182,Chargers DST  LAC,,,
183,N'Keal Harry WR  NE,,,
184,Ryan Succop K  TB,,,
185,Seahawks DST  SEA,,,
186,Eric Ebron TE  PIT ,,,
187,Matt Prater K  ARI,,,
188,Mike Williams WR  LAC,,,
189,Robby Anderson WR  CAR,,,
190,Joshua Kelley RB  LAC,,,
191,Mike Badgley K  LAC,,,
192,Panthers DST  CAR,,,
193,Michael Pittman WR  IND,,,
194,Bryce Love RB  WAS ,,,
195,Cowboys DST  DAL,,,
196,Football Team DST  WAS,,,
197,Brandon Aiyuk WR  SF ,,,
198,Kyle Rudolph TE  NYG ,,,
199,Zane Gonzalez K  ARI ,,,
200,O.J. Howard TE  TB ,,,
201,Ian Thomas TE  CAR,,,
202,Dan Bailey K  MIN,,,
203,Devine Ozigbo RB  JAC,,,
204,Matt Gay K  LAR,,,
205,Eagles DST  PHI,,,
206,Packers DST  GB,,,
207,Broncos DST  DEN,,,
208,Larry Fitzgerald WR  ARI,,,
209,Jalen Richard RB  LV,,,
