"Overall","Pick","Round","Owner","Player","Position","Team","Rank","Time"
"1","1","1","Drew","Christian McCaffrey","RB","Carolina Panthers","1","2021-07-16T11.42.43.9612737-04.00"
"2","2","1","Massachusetts 420","Dalvin Cook","RB","Minnesota Vikings","2","2021-07-16T11.42.45.6096820-04.00"
"3","3","1","Nathan","Jonathan Taylor","RB","Indianapolis Colts","7","2021-07-16T11.42.46.9875111-04.00"
"4","4","1","Jax","Ezekiel Elliott","RB","Dallas Cowboys","8","2021-07-16T11.42.48.9621750-04.00"
"5","5","1","Darkside","Aaron Jones","RB","Green Bay Packers","9","2021-07-16T11.42.50.8497908-04.00"
"6","6","1","ATLien","Tyreek Hill","WR","Kansas City Chiefs","10","2021-07-16T11.42.52.6267409-04.00"
"7","7","1","Stuart","Davante Adams","WR","Green Bay Packers","11","2021-07-16T11.42.54.3836168-04.00"
"8","8","1","Marinomania","Cam Akers","RB","Los Angeles Rams","12","2021-07-16T11.42.56.0715132-04.00"
"9","9","1","Y.W.Snappers","A.J. Brown","WR","Tennessee Titans","13","2021-07-16T11.42.57.6901122-04.00"
"10","10","1","Sheriff","Stefon Diggs","WR","Buffalo Bills","14","2021-07-16T11.42.59.5376184-04.00"
"11","11","1","Pete","Travis Kelce","TE","Kansas City Chiefs","15","2021-07-16T11.43.01.3058509-04.00"
"12","12","1","Riverside","D.K. Metcalf","WR","Seattle Seahawks","16","2021-07-16T11.43.03.1701829-04.00"
"13","1","2","Riverside","George Kittle","TE","San Francisco 49ers","17","2021-07-16T11.43.05.0317114-04.00"
"14","2","2","Pete","DeAndre Hopkins","WR","Arizona Cardinals","18","2021-07-16T11.43.06.8492953-04.00"
"15","3","2","Sheriff","Patrick Mahomes II","QB","Kansas City Chiefs","19","2021-07-16T11.43.08.4978371-04.00"
"16","4","2","Y.W.Snappers","Calvin Ridley","WR","Atlanta Falcons","20","2021-07-16T11.43.10.1937313-04.00"
"17","5","2","Marinomania","Antonio Gibson","RB","Washington Football Team","21","2021-07-16T11.43.11.6354517-04.00"
"18","6","2","Stuart","Joe Mixon","RB","Cincinnati Bengals","22","2021-07-16T11.43.14.6180182-04.00"
"19","7","2","ATLien","Derrick Henry","RB","Tennessee Titans","3","2021-07-16T11.43.39.6095764-04.00"
"20","8","2","Darkside","Saquon Barkley","RB","New York Giants","4","2021-07-16T11.43.41.3220838-04.00"
"21","9","2","Jax","Nick Chubb","RB","Cleveland Browns","5","2021-07-16T11.43.43.4180123-04.00"
"22","10","2","Nathan","Alvin Kamara","RB","New Orleans Saints","6","2021-07-16T11.43.45.3378008-04.00"
"23","11","2","Massachusetts 420","Justin Jefferson","WR","Minnesota Vikings","23","2021-07-16T11.43.49.3198259-04.00"
