"Rank","Name","Position","Team","Selected","Overall","Round","Pick","Owner"
"1","Christian McCaffrey","RB","Carolina Panthers","True","1","1","1","Drew"
"2","Dalvin Cook","RB","Minnesota Vikings","True","2","1","2","Massachusetts 420"
"3","Derrick Henry","RB","Tennessee Titans","True","19","2","7","ATLien"
"4","Saquon Barkley","RB","New York Giants","True","20","2","8","Darkside"
"5","Nick Chubb","RB","Cleveland Browns","True","21","2","9","Jax"
"6","Alvin Kamara","RB","New Orleans Saints","True","22","2","10","Nathan"
"7","Jonathan Taylor","RB","Indianapolis Colts","True","3","1","3","Nathan"
"8","Ezekiel Elliott","RB","Dallas Cowboys","True","4","1","4","Jax"
"9","Aaron Jones","RB","Green Bay Packers","True","5","1","5","Darkside"
"10","Tyreek Hill","WR","Kansas City Chiefs","True","6","1","6","ATLien"
"11","Davante Adams","WR","Green Bay Packers","True","7","1","7","Stuart"
"12","Cam Akers","RB","Los Angeles Rams","True","8","1","8","Marinomania"
"13","A.J. Brown","WR","Tennessee Titans","True","9","1","9","Y.W.Snappers"
"14","Stefon Diggs","WR","Buffalo Bills","True","10","1","10","Sheriff"
"15","Travis Kelce","TE","Kansas City Chiefs","True","11","1","11","Pete"
"16","D.K. Metcalf","WR","Seattle Seahawks","True","12","1","12","Riverside"
"17","George Kittle","TE","San Francisco 49ers","True","13","2","1","Riverside"
"18","DeAndre Hopkins","WR","Arizona Cardinals","True","14","2","2","Pete"
"19","Patrick Mahomes II","QB","Kansas City Chiefs","True","15","2","3","Sheriff"
"20","Calvin Ridley","WR","Atlanta Falcons","True","16","2","4","Y.W.Snappers"
"21","Antonio Gibson","RB","Washington Football Team","True","17","2","5","Marinomania"
"22","Joe Mixon","RB","Cincinnati Bengals","True","18","2","6","Stuart"
"23","Justin Jefferson","WR","Minnesota Vikings","True","23","2","11","Massachusetts 420"
"24","J.K. Dobbins","RB","Baltimore Ravens","True","24","2","12","Drew"
"25","Austin Ekeler","RB","Los Angeles Chargers","True","25","3","1","Drew"
"26","Darren Waller","TE","Las Vegas Raiders","True","26","3","2","Massachusetts 420"
"27","Mike Evans","WR","Tampa Bay Buccaneers","True","27","3","3","Nathan"
"28","Miles Sanders","RB","Philadelphia Eagles","True","28","3","4","Jax"
"29","Allen Robinson II","WR","Chicago Bears","True","29","3","5","Darkside"
"30","Terry McLaurin","WR","Washington Football Team","True","30","3","6","ATLien"
"31","Michael Thomas","WR","New Orleans Saints","True","31","3","7","Stuart"
"32","Julio Jones","WR","Atlanta Falcons","True","32","3","8","Marinomania"
"33","Keenan Allen","WR","Los Angeles Chargers","True","33","3","9","Y.W.Snappers"
"34","D'Andre Swift","RB","Detroit Lions","True","34","3","10","Sheriff"
"35","Najee Harris","RB","Pittsburgh Steelers","True","35","3","11","Pete"
"36","Chris Godwin","WR","Tampa Bay Buccaneers","True","36","3","12","Riverside"
"37","Josh Jacobs","RB","Las Vegas Raiders","True","37","4","1","Riverside"
"38","Clyde Edwards-Helaire","RB","Kansas City Chiefs","True","38","4","2","Pete"
"39","David Montgomery","RB","Chicago Bears","True","39","4","3","Sheriff"
"40","Adam Thielen","WR","Minnesota Vikings","True","40","4","4","Y.W.Snappers"
"41","Chris Carson","RB","Seattle Seahawks","True","41","4","5","Marinomania"
"42","D.J. Moore","WR","Carolina Panthers","True","42","4","6","Stuart"
"43","Amari Cooper","WR","Dallas Cowboys","False","","","",""
"44","Kenny Golladay","WR","New York Giants","False","","","",""
"45","Josh Allen","QB","Buffalo Bills","False","","","",""
"46","CeeDee Lamb","WR","Dallas Cowboys","False","","","",""
"47","Robert Woods","WR","Los Angeles Rams","False","","","",""
"48","Mark Andrews","TE","Baltimore Ravens","False","","","",""
"49","Odell Beckham Jr.","WR","Cleveland Browns","False","","","",""
"50","Brandon Aiyuk","WR","San Francisco 49ers","False","","","",""
"51","T.J. Hockenson","TE","Detroit Lions","False","","","",""
"52","Kyler Murray","QB","Arizona Cardinals","False","","","",""
"53","Lamar Jackson","QB","Baltimore Ravens","False","","","",""
"54","Dak Prescott","QB","Dallas Cowboys","False","","","",""
"55","Kareem Hunt","RB","Cleveland Browns","False","","","",""
"56","Courtland Sutton","WR","Denver Broncos","False","","","",""
"57","Tyler Lockett","WR","Seattle Seahawks","False","","","",""
"58","Tee Higgins","WR","Cincinnati Bengals","False","","","",""
